title,brand,primary_category,primary_subcategory,media_type,form_factor,capacity_display,capacity_gb,interfaces,connectors,read_mbps,write_mbps,rpm,bays,raid_levels,rugged,ip_rating,drop_m,encryption,bus_powered,warranty_years,workflows,price_usd,completeness,needs_review,url
SanDisk Extreme Portable SSD V2 (Black),Sandisk,Drives,Solid-State Drives (SSD),ssd,rugged_portable,1 TB,1000,,USB-C; USB-A,1000,,,,,True,IP55,,256-bit AES,True,5,Offload & Ingest; On-Set Capture,319.99,0.74,False,https://www.filmtools.com/sandisk-extreme-portable-ssd-v2-black.html
Apricorn 16GB Aegis Secure Key 3NX Encrypted USB 3.1 Gen 1 Flash Drive (),Apricorn,Uncategorized,Needs Review,unknown,rugged_portable,16 GB,16,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,77,72,,,,True,IP67,,256-bit AES,,,,99.0,0.6,True,https://www.filmtools.com/apricorn-aegis-secure-key-3nx-encrypted-usb-3-1-gen-1-flash-drive-16gb.html
"Oyen Digital 1050MB Helix Dura USB-C (USB 3.2 Gen2) NVMe Portable SSD, Up to /s 4TB",Oyen Digital,Drives,Solid-State Drives (SSD),ssd,portable,1 GB,1,Thunderbolt 4; Thunderbolt 3; Thunderbolt 2; USB 3.2 Gen 2; USB 3.2 Gen 1; USB 3.1; USB 3.0; PCIe/NVMe,USB-C; USB-A,965,945,,,,False,,,,,4,Edit Fast; Offload & Ingest,819.0,0.88,False,https://www.filmtools.com/oyen-digital-4tb-helix-dura-usb-c-3-1-gen-2-portable-nvme-ssd.html
SanDisk Professional G-DRIVE PROJECT Thunderbolt 3 External Hard Drive,SanDisk Professional,Drives,Hard Disk Drives (HDD),hdd,,6 TB,6000,Thunderbolt 3,,260,260,7200,,,False,,,,,5,,644.99,0.65,False,https://www.filmtools.com/sandisk-professional-g-drive-project-thunderbolt-3-external-hard-drive.html
Oyen Digital 16TB MiniPro RAID V4 2-Bay USB-C 3.2 Gen 2 Portable SSD & RAID Array (2 x 8TB),Oyen Digital,Multi-Bay & RAID,2-Bay,ssd,portable,8 TB,8000,USB 3.0; SATA,USB-C; USB-A,,,,2,0,False,,,,,,Backup & Redundancy; Offload & Ingest,1699.0,0.88,False,https://www.filmtools.com/oyen-digital-mini-pro-raid-v4-16tb-2-bay-usb-c-3-2-gen-2-portable-ssd-raid-array-2-x-8tb-3.html
OWC Express 1M2 80G USB Bus-Powered Portable NVMe,OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,,,Thunderbolt 5; Thunderbolt 4; Thunderbolt 3; USB4; PCIe/NVMe,USB-C,5046,5000,,1,,True,,,,True,3,Edit Fast; Offload & Ingest; On-Set Capture,169.99,0.66,False,https://www.filmtools.com/owc-express-1m2-80g-usb-bus-powered-portable-nvme.html
"Glyph SecureDrive+ Encrypted Drive with Keypad (SSD, ) (1TB, 2TB, 4TB, 8TB)",Glyph,Drives,Bare / Internal Drives,ssd,bare_internal,1 TB,1000,Thunderbolt 3; USB 3.2 Gen 1,USB-C; USB-A,360,,,,,False,,,,,,Edit Fast,279.99,0.84,False,https://www.filmtools.com/glyph-securedrive-encrypted-drive-with-keypad-ssd-1tb-2tb-4tb-8tb.html
LaCie Rugged SSD Pro Thunderbolt 3 External Drive,LaCie,Drives,Solid-State Drives (SSD),ssd,rugged_portable,2 TB,2000,Thunderbolt 3; USB 3.0; PCIe/NVMe,USB-C,2800,,,,,True,IP67,,,,,Edit Fast; Offload & Ingest; On-Set Capture,249.99,0.75,False,https://www.filmtools.com/lacie-rugged-pro-ssd-thunderbolt-3-external-drive.html
SanDisk Professional 5TB G-DRIVE ArmorATD USB-C 3.2 Gen 1 External Hard Drive,Sandisk,Drives,Hard Disk Drives (HDD),hdd,rugged_portable,5 TB,5000,Thunderbolt 3; USB 3.2 Gen 1; USB 3.0,USB-C; USB-A,130,,,,,True,IP54,,,True,3,On-Set Capture,354.99,0.84,False,https://www.filmtools.com/sandisk-professional-5tb-g-drive-armoratd-usb-c-3-2-gen-1-external-hard-drive.html
Apricorn 2TB Aegis Fortress FIPS 140-2 Level 2 Secure USB 3.0 Portable Drive,Apricorn,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,2 TB,2000,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,,,,,,True,IP66,,,,,,769.0,0.83,False,https://www.filmtools.com/apricorn-2tb-aegis-fortress-fips-140-2-level-2-secure-usb-3-0-portable-drive.html
OWC 4TB Envoy Pro FX External SSD,OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,4 TB,4000,Thunderbolt 3; SATA; PCIe/NVMe,USB-C; USB-A,2800,,,,,True,IP67,,,True,3,Edit Fast; Offload & Ingest; On-Set Capture,1099.99,0.84,False,https://www.filmtools.com/owc-4tb-envoy-pro-fx-external-ssd.html
AJA 1TB SSD storage module with USB 3.0 connection,AJA,Drives,Solid-State Drives (SSD),ssd,desktop,1 TB,1000,USB 3.0; SATA,,,,,,,False,,,,,1,,1334.0,0.85,False,https://www.filmtools.com/aja-1tb-ssd-storage-module-with-usb-3-0-connection.html
"OWC 4TB Mercury Elite Pro Dual mini Portable, USB C",OWC,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,4 TB,4000,Thunderbolt 2; USB 3.2 Gen 2x2; SATA,USB-C; USB-A,474,,,2,0; 1,True,,,,True,3,Backup & Redundancy; Edit Fast,264.99,0.83,False,https://www.filmtools.com/owc-4tb-mercury-elite-pro-dual-mini-portable-usb-c.html
LaCie 1TB Rugged SSD Pro Thunderbolt 3 External Drive,LaCie,Drives,Solid-State Drives (SSD),ssd,rugged_portable,1 TB,1000,Thunderbolt 3; PCIe/NVMe,USB-C,2800,,,,,True,IP67,,,,,Edit Fast; Offload & Ingest; On-Set Capture,249.99,0.83,False,https://www.filmtools.com/lacie-1tb-rugged-pro-ssd-thunderbolt-3-external-drive-sthz1000800.html
SanDisk 500GB Extreme Portable SSD V2 (Black),Sandisk,Drives,Solid-State Drives (SSD),ssd,rugged_portable,500 GB,500,USB 3.2 Gen 2,USB-C; USB-A,1000,,,,,True,IP55,,256-bit AES,True,5,Offload & Ingest; On-Set Capture,397.68,0.88,False,https://www.filmtools.com/sandisk-500gb-extreme-portable-ssd-v2.html
SanDisk 4TB Extreme PRO Portable SSD V2,SanDisk,Drives,Solid-State Drives (SSD),ssd,rugged_portable,4 TB,4000,USB 3.2 Gen 2x2,USB-C,2000,,,,,True,IP55,,256-bit AES,True,,Edit Fast; Offload & Ingest; On-Set Capture,679.99,0.88,False,https://www.filmtools.com/sandisk-4tb-extreme-pro-portable-ssd-v2.html
Oyen Digital 10TB Novus External USB-C Rugged Desktop Hard Drive,Oyen Digital,Drives,Hard Disk Drives (HDD),hdd,desktop,10 TB,10000,USB 3.2 Gen 2; USB 3.1,USB-C,,,,,,True,,,,,,Archive Forever; Backup & Redundancy,499.0,0.85,False,https://www.filmtools.com/oyen-digital-10tb-novus-rugged-desktop-hard-drive-usb-3-1-type-c.html
Oyen Digital 12TB Novus External USB-C Rugged Desktop Hard Drive,Oyen Digital,Drives,Hard Disk Drives (HDD),hdd,desktop,12 TB,12000,Thunderbolt 3; USB 3.2 Gen 2; USB 3.1; USB 3.0,USB-C,,,,,,True,,,,,,Archive Forever; Backup & Redundancy,599.0,0.85,False,https://www.filmtools.com/oyen-digital-12tb-novus-usb-3-1-gen-2-type-c-rugged-desktop-hard-drive.html
SanDisk Professional 500GB G-DRIVE™ SSD Ultra-Rugged & Portable NVMe™ SSD,SanDisk Professional,Drives,Solid-State Drives (SSD),ssd,rugged_portable,500 GB,500,USB 3.2 Gen 2; PCIe/NVMe,USB-C; USB-A,1050,,,,,True,IP67,3.0,256-bit AES,,5,Offload & Ingest; On-Set Capture,77.99,0.88,False,https://www.filmtools.com/sandisk-g-drivetm-ssd-ultra-rugged-portable-nvmetm-ssd-500gb.html
Apricorn 256GB Aegis Fortress FIPS 140-2 Level 2 Secure USB 3.0 Portable Drive,Apricorn,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,256 GB,256,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,,,,,,True,IP66,,,,,,219.0,0.83,False,https://www.filmtools.com/apricorn-256gb-aegis-fortress-fips-140-2-level-2-secure-usb-3-0-portable-drive.html
Apricorn 512GB Aegis Fortress FIPS 140-2 Level 2 Secure USB 3.0 Portable Drive,Apricorn,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,512 GB,512,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,,,,,,True,IP66,,,,,,309.0,0.83,False,https://www.filmtools.com/apricorn-512gb-aegis-fortress-fips-140-2-level-2-secure-usb-3-0-portable-drive-1.html
Apricorn 2TB Aegis Fortress FIPS 140-2 Level 2 Secure USB 3.0 Portable Drive,Apricorn,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,2 TB,2000,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,,,,,,True,IP66,,,,,,469.0,0.83,False,https://www.filmtools.com/apricorn-1tb-aegis-fortress-fips-140-2-level-2-secure-usb-3-0-portable-drive.html
Apricorn 4TB Aegis Fortress FIPS 140-2 Level 2 Secure USB 3.0 Portable Drive,Apricorn,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,4 TB,4000,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,,,,,,True,IP66,,,,,,2849.0,0.83,False,https://www.filmtools.com/apricorn-4tb-aegis-fortress-fips-140-2-level-2-secure-usb-3-0-portable-drive.html
Apricorn 8TB Aegis Fortress FIPS 140-2 Level 2 Secure USB 3.0 Portable Drive,Apricorn,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,8 TB,8000,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,,,,,,True,IP66,,,,,,8469.0,0.83,False,https://www.filmtools.com/apricorn-8tb-aegis-fortress-fips-140-2-level-2-secure-usb-3-0-portable-drive.html
Apricorn 16TB Aegis Fortress FIPS 140-2 Level 2 Secure USB 3.0 Portable Drive,Apricorn,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,16 TB,16000,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,,,,,,True,IP66,,,,,,14049.0,0.83,False,https://www.filmtools.com/apricorn-16tb-aegis-fortress-fips-140-2-level-2-secure-usb-3-0-portable-drive.html
Apricorn 2TB Aegis Padlock USB 3.0 Hardware-Encrypted Solid State Drive,Apricorn,Drives,Solid-State Drives (SSD),ssd,,2 TB,2000,USB 3.0,USB-A,,,,,,False,,,256-bit AES,,,,1489.0,0.67,False,https://www.filmtools.com/apricorn-2tb-aegis-padlock-usb-3-0-hardware-encrypted-solid-state-drive.html
Apricorn 4TB Aegis Padlock USB 3.0 Hardware-Encrypted Solid State Drive,Apricorn,Drives,Solid-State Drives (SSD),ssd,,4 TB,4000,USB 3.0,USB-A,,,,,,False,,,256-bit AES,,,,2829.0,0.67,False,https://www.filmtools.com/apricorn-4tb-aegis-padlock-usb-3-0-hardware-encrypted-solid-state-drive.html
Apricorn 8TB Aegis Padlock USB 3.0 Hardware-Encrypted Solid State Drive,Apricorn,Drives,Solid-State Drives (SSD),ssd,,8 TB,8000,USB 3.0,USB-A,,,,,,False,,,256-bit AES,,,,8449.0,0.67,False,https://www.filmtools.com/apricorn-8tb-aegis-padlock-usb-3-0-hardware-encrypted-solid-state-drive.html
Apricorn 16TB Aegis Padlock USB 3.0 Hardware-Encrypted Solid State Drive,Apricorn,Drives,Solid-State Drives (SSD),ssd,,16 TB,16000,USB 3.0,USB-A,,,,,,False,,,256-bit AES,,,,14029.0,0.67,False,https://www.filmtools.com/apricorn-16tb-aegis-padlock-usb-3-0-hardware-encrypted-solid-state-drive.html
"Apricorn USB Type-A Female to USB Type-C Male Adapter (6"")",Apricorn,Uncategorized,Needs Review,unknown,,,,,USB-C; USB-A,,,,,,False,,,,,,,9.0,0.15,True,https://www.filmtools.com/apricorn-usb-type-a-female-to-usb-type-c-male-adapter-6.html
OWC 2TB Envoy Pro Elektron USB Type-C External SSD (Silver),OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,2 TB,2000,USB 3.2 Gen 2; USB 3.1; PCIe/NVMe,USB-C; USB-A,1011,,,,,True,IP67,,,True,,Offload & Ingest; On-Set Capture,679.99,0.84,False,https://www.filmtools.com/owc-2tb-envoy-pro-elektron-usb-type-c-external-ssd-silver.html
Glyph 1TB SecureDrive+ Encrypted Drive with Keypad (),Glyph,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,1 TB,1000,Thunderbolt 3; USB 3.2 Gen 1,USB-C; USB-A,140,,5400,,,False,,,,,,,249.99,0.83,False,https://www.filmtools.com/glyph-technologies-1tb-secure-drive-professional-external-hard-disk-drive.html
Glyph 2TB SecureDrive+ Encrypted Drive with Keypad (),Glyph,Drives,Bare / Internal Drives,hdd,bare_internal,2 TB,2000,Thunderbolt 3; USB 3.2 Gen 1,USB-C; USB-A,140,,5400,,,False,,,,,,,299.99,0.79,False,https://www.filmtools.com/glyph-technologies-2tb-secure-drive-professional-external-hard-disk-drive.html
Glyph 4TB SecureDrive+ Encrypted Drive with Keypad (),Glyph,Drives,Bare / Internal Drives,hdd,bare_internal,4 TB,4000,Thunderbolt 3; USB 3.2 Gen 1,USB-C; USB-A,140,,5400,,,False,,,,,,,349.99,0.79,False,https://www.filmtools.com/glyph-technologies-4tb-secure-drive-professional-external-hard-disk-drive.html
Glyph 5TB SecureDrive+ Encrypted Drive with Keypad (),Glyph,Drives,Bare / Internal Drives,hdd,bare_internal,5 TB,5000,Thunderbolt 3; USB 3.2 Gen 1,USB-C; USB-A,140,,5400,,,False,,,,,,,379.99,0.79,False,https://www.filmtools.com/glyph-technologies-5tb-secure-drive-professional-external-hard-disk-drive.html
"Glyph 1TB SecureDrive+ Encrypted Drive with Keypad (SSD, )",Glyph,Drives,Bare / Internal Drives,ssd,bare_internal,1 TB,1000,Thunderbolt 3; USB 3.2 Gen 1,USB-C; USB-A,360,360,,,,False,,,,,,Edit Fast,279.99,0.84,False,https://www.filmtools.com/glyph-technologies-1tb-secure-drive-professional-external-solid-state-drive.html
"Glyph 4TB SecureDrive+ Encrypted Drive with Keypad (SSD, )",Glyph,Drives,Bare / Internal Drives,ssd,bare_internal,4 TB,4000,Thunderbolt 3; USB 3.2 Gen 1,USB-C; USB-A,360,360,,,,False,,,,,,Edit Fast,699.99,0.84,False,https://www.filmtools.com/glyph-technologies-4tb-secure-drive-professional-external-solid-state-drive.html
"Glyph 8TB SecureDrive+ Encrypted Drive with Keypad (SSD, )",Glyph,Drives,Bare / Internal Drives,ssd,bare_internal,8 TB,8000,Thunderbolt 3; USB 3.2 Gen 1,USB-C; USB-A,360,360,,,,False,,,,,,Edit Fast,1199.99,0.84,False,https://www.filmtools.com/glyph-technologies-8tb-securedrive-professional-external-solid-state-drive.html
Glyph 20TB Technologies Blackbox PRO External Hard Drive,Glyph,Drives,Hard Disk Drives (HDD),hdd,desktop,20 TB,20000,Thunderbolt 3; USB 3.2 Gen 2; USB 3.1; USB 3.0; SATA,USB-C; USB-A,260,260,7200,,,True,,,,False,3,Archive Forever; Backup & Redundancy,1199.99,0.85,False,https://www.filmtools.com/glyph-technologies-20tb-blackbox-pro-external-hard-drive.html
Glyph 5TB Technologies Blackbox Plus USB 3.1 Type-C External Hard Drive,Glyph,Drives,Hard Disk Drives (HDD),hdd,rugged_portable,5 TB,5000,Thunderbolt 3; USB 3.1; USB 3.0; SATA,USB-C; USB-A,140,140,5400,,,True,,,,True,3,On-Set Capture,239.99,0.84,False,https://www.filmtools.com/glyph-technologies-5tb-blackbox-plus-usb-3-1-type-c-external-hard-drive.html
"OWC Express 2.5"" Portable USB 3.0 Enclosure Kit for SATA HDDs & SSDs (Black)",OWC,Drives,Bare / Internal Drives,enclosure,portable,,,USB 3.0; USB 2.0; SATA,,,,,,,False,,,,,1,,19.99,0.66,False,https://www.filmtools.com/owc-express-2-5-portable-usb-3-0-enclosure-kit-for-sata-hd-ds-ss-ds-black.html
Oyen Digital 100TB Fortis 5C 5-Bay USB-C External RAID Drive Array,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,bare_internal,100 TB,100000,,USB-C,,,7200,5,8,False,,,,,,Archive Forever; Backup & Redundancy; Team & Network,4719.0,0.78,False,https://www.filmtools.com/oyen-digital-100tb-fortis-5c-5-bay-external-drive.html
Samsung 2TB T7 Shield Portable SSD (Black),Samsung,Drives,Solid-State Drives (SSD),ssd,rugged_portable,2 TB,2000,USB 3.2 Gen 2; PCIe/NVMe,USB-C,,,,,,True,IP65,,256-bit AES,,,Offload & Ingest; On-Set Capture,640.858824,0.88,False,https://www.filmtools.com/samsung-2tb-t7-shield-portable-ssd-black.html
OWC Envoy Pro Mini 1TB USBC+USBA (10Gb/s) Portable SSD,OWC,Drives,Solid-State Drives (SSD),ssd,portable,1 TB,1000,USB 3.2 Gen 2,USB-C; USB-A,946,,,,,False,,,,True,3,Offload & Ingest,249.99,0.88,False,https://www.filmtools.com/owc-envoy-pro-mini-1tb-usbcusba-10gbs-portable-ssd.html
"Oyen Digital 1050MB Helix Dura USB-C (USB 3.2 Gen2) NVMe Portable SSD, Up to /s 8TB",Oyen Digital,Drives,Solid-State Drives (SSD),ssd,portable,1 GB,1,Thunderbolt 4; Thunderbolt 3; Thunderbolt 2; USB 3.2 Gen 2; USB 3.2 Gen 1; USB 3.1; USB 3.0; PCIe/NVMe,USB-C; USB-A,1050,1050,,,,False,,,,,4,Edit Fast; Offload & Ingest,1559.0,0.88,False,https://www.filmtools.com/oyen-digital-8tb-helix-dura-usb-c-3-1-gen-2-portable-nvme-ssd.html
OWC 1TB Envoy Pro Elektron USB Type-C External SSD (Silver),OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,1 TB,1000,USB 3.2 Gen 2; USB 3.1; PCIe/NVMe,USB-C; USB-A,1011,,,,,True,IP67,,,True,,Offload & Ingest; On-Set Capture,379.99,0.84,False,https://www.filmtools.com/owc-1tb-envoy-pro-elektron-usb-type-c-external-ssd-silver.html
SanDisk Professional 6TB G-DRIVE PROJECT Thunderbolt 3 External Hard Drive,SanDisk Professional,Drives,Hard Disk Drives (HDD),hdd,,6 TB,6000,Thunderbolt 3,,260,260,7200,,,False,,,,,5,,644.99,0.67,False,https://www.filmtools.com/sandisk-professional-6tb-g-drive-project-thunderbolt-3-external-hard-drive.html
Oyen Digital 8TB MiniPro RAID V4 USB-C Portable Dual Hard Drive,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,portable,8 TB,8000,Thunderbolt 3; SATA,USB-C; USB-A,,900,5400,2,0; 1,False,,,,True,,Archive Forever; Backup & Redundancy,499.0,0.88,False,https://www.filmtools.com/oyen-digital-minipro-raid-v4-8tb-2-bay-usb-c-3-2-gen-2-portable-hard-drive-raid-array-2-x-4tb.html
Oyen Digital MiniPro RAID V4 2-Bay USB-C 3.2 Gen 2 Portable Hard Drive & RAID Array,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,portable,,,SATA,USB-C; USB-A,,,,2,0,False,,,,,,Backup & Redundancy,499.0,0.66,False,https://www.filmtools.com/oyen-digital-minipro-raid-v4-2-bay-usb-c-3-2-gen-2-portable-hard-drive-raid-array.html
Oyen Digital 10TB MiniPro RAID V4 USB-C Portable Dual Hard Drive,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,portable,10 TB,10000,Thunderbolt 3; SATA,USB-C; USB-A,,900,5400,2,0; 1,False,,,,True,,Archive Forever; Backup & Redundancy,699.0,0.88,False,https://www.filmtools.com/oyen-digital-minipro-raid-v4-8tb-2-bay-usb-c-3-2-gen-2-portable-hard-drive-raid-array-2-x-4tb-1.html
Oyen Digital 8TB SSD MiniPro RAID V4 USB-C Portable Solid State Drive,Oyen Digital,Multi-Bay & RAID,2-Bay,ssd,portable,8 TB,8000,USB 3.2 Gen 2; SATA,USB-C; USB-A,,,,,0; 1,False,,,,,,Backup & Redundancy; Offload & Ingest,799.0,0.88,False,https://www.filmtools.com/oyen-digital-mini-pro-raid-v4-8tb-2-bay-usb-c-3-2-gen-2-portable-ssd-raid-array-2-x-4tb-2.html
Oyen Digital MiniPro RAID V4 USB-C (10Gbps) Dual Bay Enclosure,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,desktop,1 TB,1000,USB 3.2 Gen 2; SATA,USB-C; USB-A,,,,,0; 1,False,,,,,,Backup & Redundancy,119.0,0.78,False,https://www.filmtools.com/oyen-digital-minipro-raid-v4-2-bay-usb-c-3-2-gen-2-enclosure.html
Oyen Digital Mobius 2C RAID 2-Bay USB-C Hard Drive Enclosure,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,bare_internal,,,Thunderbolt 3; USB 3.2 Gen 2; USB 3.2 Gen 1; USB 3.0; SATA,USB-C,,,,2,0; 1; 2,False,,,,,3,Backup & Redundancy,169.0,0.62,False,https://www.filmtools.com/oyen-digital-mobius-2c-2-bay-usb-3-2-gen-2-raid-array-hd-ds-1.html
Oyen Digital 16TB Mobius 2C RAID 2-Bay USB-C Hard Drive Array,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,bare_internal,16 TB,16000,Thunderbolt 3; USB 3.2 Gen 2; USB 3.2 Gen 1; USB 3.0,USB-C; USB-A,,,7200,2,0; 1; 2,False,,,,,3,Archive Forever; Backup & Redundancy,899.0,0.84,False,https://www.filmtools.com/oyen-digital-mobius-2c-16tb-2-bay-usb-3-2-gen-2-raid-array-2-x-8tb-hd-ds.html
Oyen Digital 24TB Mobius 2C RAID 2-Bay USB-C Hard Drive Array,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,bare_internal,24 TB,24000,Thunderbolt 3; USB 3.2 Gen 2; USB 3.2 Gen 1; USB 3.0,USB-C; USB-A,,,7200,2,0; 1; 2,False,,,,,3,Archive Forever; Backup & Redundancy,1399.0,0.84,False,https://www.filmtools.com/oyen-digital-mobius-2c-24tb-2-bay-usb-3-2-gen-2-raid-array-2-x-12tb-hd-ds.html
Oyen Digital 32TB Mobius 2C RAID 2-Bay USB-C Hard Drive Array,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,bare_internal,32 TB,32000,Thunderbolt 3; USB 3.2 Gen 2; USB 3.2 Gen 1; USB 3.0,USB-C; USB-A,,,7200,2,0; 1; 2,False,,,,,3,Archive Forever; Backup & Redundancy,1699.0,0.84,False,https://www.filmtools.com/oyen-digital-mobius-2c-32tb-2-bay-usb-3-2-gen-2-raid-array-2-x-16tb-hd-ds.html
Oyen Digital Mobius 2C 2-Bay USB 3.2 Gen 2 RAID Array,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,bare_internal,8 TB,8000,Thunderbolt 3; USB 3.2 Gen 2; USB 3.2 Gen 1; USB 3.0,USB-C; USB-A,,,7200,2,0; 1,False,,,,,3,Archive Forever; Backup & Redundancy,899.0,0.77,False,https://www.filmtools.com/oyen-digital-mobius-2c-2-bay-usb-3-2-gen-2-raid-array-hd-ds.html
Oyen Digital 40TB Mobius 2C RAID 2-Bay USB-C Hard Drive Array,Oyen Digital,Multi-Bay & RAID,2-Bay,hdd,bare_internal,40 TB,40000,Thunderbolt 3; USB 3.2 Gen 2; USB 3.2 Gen 1; USB 3.0,USB-C; USB-A,,,7200,2,0; 1; 2,False,,,,,3,Archive Forever; Backup & Redundancy,1999.0,0.84,False,https://www.filmtools.com/oyen-digital-mobius-2c-40tb-2-bay-usb-3-2-gen-2-raid-array-2-x-20tb-hd-ds.html
OWC Express 1M2 USB4 (80Gb/s) Bus-Powered Portable NVMe,OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,,,Thunderbolt 5; Thunderbolt 4; Thunderbolt 3; USB4; PCIe/NVMe,USB-C,5046,5000,,1,,True,,,,True,3,Edit Fast; Offload & Ingest; On-Set Capture,169.99,0.66,False,https://www.filmtools.com/owc-express-1m2-usb4-80gb-s-bus-powered-portable-nvme.html
OWC 1TB Express 1M2 80G USB Bus-Powered Portable NVMe,OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,1 TB,1000,Thunderbolt 5; Thunderbolt 4; Thunderbolt 3; USB4; PCIe/NVMe,USB-C,5046,5000,,1,,True,,,,True,3,Edit Fast; Offload & Ingest; On-Set Capture,529.99,0.88,False,https://www.filmtools.com/owc-express-1m2-usb4-80gb-s-1-tb-bus-powered-portable-nvme.html
OWC 2TB Express 1M2 80G USB Bus-Powered Portable NVMe,OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,2 TB,2000,Thunderbolt 5; Thunderbolt 4; Thunderbolt 3; USB4; PCIe/NVMe,USB-C,5046,5000,,1,,True,,,,True,3,Edit Fast; Offload & Ingest; On-Set Capture,679.99,0.88,False,https://www.filmtools.com/owc-express-1m2-usb4-80gb-s-2tb-bus-powered-portable-nvme.html
OWC 4TB Express 1M2 80G USB Bus-Powered Portable NVMe,OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,4 TB,4000,Thunderbolt 5; Thunderbolt 4; Thunderbolt 3; USB4; PCIe/NVMe,USB-C,5046,5000,,1,,True,,,,True,3,Edit Fast; Offload & Ingest; On-Set Capture,1129.99,0.88,False,https://www.filmtools.com/owc-express-1m2-usb4-80gb-s-4tb-bus-powered-portable-nvme.html
OWC 8TB Express 1M2 80G USB Bus-Powered Portable NVMe,OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,8 TB,8000,Thunderbolt 5; Thunderbolt 4; Thunderbolt 3; USB4; PCIe/NVMe,USB-C,5046,5000,,1,,True,,,,True,3,Edit Fast; Offload & Ingest; On-Set Capture,2199.99,0.88,False,https://www.filmtools.com/owc-express-1m2-usb4-80gb-s-8tb-bus-powered-portable-nvme.html
Rocstor 3TB Rocpro 900e External Hard Drive,Rocstor,Drives,Hard Disk Drives (HDD),hdd,rugged_portable,3 TB,3000,USB 3.0; FireWire 800; SATA,,,,,,,False,,,,,,,305.33,0.84,False,https://www.filmtools.com/rocpro-900e-3tb-usb3-0-g269n2-01.html
"Rocstor Rocpro 900e External Hard Drive (3TB, 4TB)",Rocstor,Drives,Hard Disk Drives (HDD),hdd,rugged_portable,3 TB,3000,USB 3.0; FireWire 800; SATA,,,,,,,False,,,,,,,305.33,0.84,False,https://www.filmtools.com/rocstor-rocpro-900e-external-hard-drive-3tb-4tb.html
Glyph 1TB Technologies BlackBox USB 3.0 Mobile Hard Drive,Glyph,Drives,Hard Disk Drives (HDD),hdd,portable,1 TB,1000,USB 3.0; USB 2.0,,,,,,,False,,,,True,,,169.99,0.84,False,https://www.filmtools.com/glyph-blackbox-usb-3-0-1-tb.html
"Glyph Technologies BlackBox USB 3.0 Mobile Hard Drive (1TB, 2TB)",Glyph,Drives,Hard Disk Drives (HDD),hdd,portable,1 TB,1000,USB 3.0; USB 2.0,,,,,,,False,,,,True,,,169.99,0.84,False,https://www.filmtools.com/glyph-technologies-blackbox-usb-3-0-mobile-hard-drive-1tb-2tb.html
Glyph 2TB Technologies BlackBox USB 3.0 Mobile Hard Drive,Glyph,Drives,Hard Disk Drives (HDD),hdd,portable,2 TB,2000,USB 3.0; USB 2.0,,,,,,,False,,,,True,,,224.99,0.84,False,https://www.filmtools.com/glyph-blackbox-usb-3-0-2-tb.html
Fujifilm 2.5TB LTO 7 Ultrium Barium Ferrite Data Cartridge,Fujifilm,Archive & Backup,LTO Tape,tape,deck_or_cartridge,2.5 TB,2500,,,,,,,,False,,,,,,Archive Forever,64.4,0.66,False,https://www.filmtools.com/fujifilm-lto-ultrium-7-tape-barium-ferrite-16456574.html
