title,brand,primary_category,primary_subcategory,media_type,form_factor,capacity_display,capacity_gb,interfaces,connectors,read_mbps,write_mbps,rpm,bays,raid_levels,rugged,ip_rating,drop_m,encryption,bus_powered,warranty_years,workflows,price_usd,completeness,needs_review,url
"ProGrade Digital CFexpress 4.0 Type A Iridium Memory Card (480GB, 960GB)",ProGrade Digital,Camera Media,Other Cards,memory_card,card,480 GB,480,PCIe/NVMe,,1800,1700,,,,True,,,,,,On-Set Capture,449.99,0.89,False,https://www.filmtools.com/prograde-digital-cfexpress-4-0-type-a-iridium-memory-card-480gb-960gb.html
ProGrade Digital 480GB CFexpress 4.0 Type A Iridium Memory Card (2-Pack),ProGrade Digital,Camera Media,Other Cards,memory_card,card,480 GB,480,PCIe/NVMe,,1800,1700,,,,True,,,,,,On-Set Capture,854.991,0.89,False,https://www.filmtools.com/prograde-digital-480gb-cfexpress-4-0-type-a-iridium-memory-card-2-pack.html
"ProGrade Digital CFexpress 4.0 Type A Iridium Memory Card (2-Pack) (480GB, 960GB)",ProGrade Digital,Camera Media,Other Cards,memory_card,card,480 GB,480,PCIe/NVMe,,1800,1700,,,,True,,,,,,On-Set Capture,854.99,0.89,False,https://www.filmtools.com/prograde-digital-cfexpress-4-0-type-a-iridium-memory-card-2-pack-480gb-960gb.html
ProGrade Digital 960GB CFexpress 4.0 Type A Iridium Memory Card (2-Pack),ProGrade Digital,Camera Media,Other Cards,memory_card,card,960 GB,960,PCIe/NVMe,,1800,1700,,,,True,,,,,,On-Set Capture,1519.991,0.89,False,https://www.filmtools.com/prograde-digital-960gb-cfexpress-4-0-type-a-iridium-memory-card-2-pack.html
ProGrade Digital 960GB CFexpress 4.0 Type A Iridium Memory Card,ProGrade Digital,Camera Media,Other Cards,memory_card,card,960 GB,960,PCIe/NVMe,,1800,1700,,,,True,,,,,,On-Set Capture,799.99,0.89,False,https://www.filmtools.com/prograde-digital-960gb-cfexpress-4-0-type-a-iridium-memory-card.html
"Lexar Professional Workflow CFexpress, Type A 4.0 Card Reader",Lexar,Readers & Docks,Card Readers,reader,accessory,,,CFexpress Type A,,,,,,,False,,,,,,Offload & Ingest,209.65,0.66,False,https://www.filmtools.com/lexar-professional-workflow-cfexpress-type-a-4-0-card-reader.html
Lexar Professional Workflow 6-Bay Card Reader Docking Station,Lexar,Readers & Docks,Card Readers,reader,accessory,,,Thunderbolt 4; SDXC UHS-II,USB-C; USB-A,1050,,,6,,False,,,,,3,Backup & Redundancy; Edit Fast; Offload & Ingest; Team & Network,599.99,0.66,False,https://www.filmtools.com/lexar-professional-workflow-6-bay-card-reader.html
Glyph Capture+ CFexpress Type B USB4 Memory Card Reader,Glyph,Readers & Docks,Card Readers,reader,accessory,40 GB,40,USB4; USB 3.2 Gen 2; CFexpress Type B,USB-C,,,,,,True,,,,True,,Offload & Ingest,149.99,0.86,False,https://www.filmtools.com/glyph-capture-cfexpress-type-b-usb4-memory-card-reader.html
Sony SBAC-US30 USB 3.0 Reader/Writer for SxS PRO+ and SxS-1 Memory Cards,Sony,Readers & Docks,Card Readers,reader,accessory,,,USB 3.0; PCIe/NVMe,,800,800,,,,False,,,,True,1,Offload & Ingest,630.0,0.66,False,https://www.filmtools.com/sony-sbac-us30-usb-3-0-sxs-memory-card-reader.html
Sonnet SF3 Series CFast 2.0 Pro Card Reader,Sonnet Technologies,Readers & Docks,Card Readers,reader,accessory,,,Thunderbolt 3; USB 3.0; SATA; CFast 2.0,USB-C,1000,,,,,True,,,,True,,Offload & Ingest,199.99,0.66,False,https://www.filmtools.com/sonnet-sf3-series-cfast-2-0-pro-card-reader.html
SanDisk Extreme Pro SD Card USB Type-C Reader,Sandisk,Readers & Docks,Card Readers,reader,accessory,,,USB 3.2 Gen 1; USB 3.1; USB 3.0; SDXC UHS-II,USB-C,500,,,,,False,,,,,2,Offload & Ingest,61.99,0.66,False,https://www.filmtools.com/sandisk-extreme-pro-sd-card-usb-type-c-reader-sddr-409-a46.html
ProGrade Digital Dual-Slot CFast 2.0 & UHS-II SDXC USB 3.1 Gen 2 Type-C Card Reader,ProGrade Digital,Readers & Docks,Card Readers,reader,accessory,,,USB 3.2 Gen 2; USB 3.1; SATA; SDXC UHS-II; CFast 2.0,USB-C; USB-A,675,,,,,False,,,,,2,Offload & Ingest,84.99,0.66,False,https://www.filmtools.com/prograde-digital-dual-slot-cfast-2-0-uhs-ii-sdxc-usb-3-1-gen-2-type-c-card-reader-pgrwcfasdana.html
Verbatim SuperSpeed USB 3.0 Store 'n' Go V3 USB Drive (Memory Capacity),Verbatim,Uncategorized,Needs Review,unknown,,,,USB 3.0; USB 2.0,,175,,,,,False,,,,,,,7.99,0.21,True,https://www.filmtools.com/verbatim-superspeed-usb-3-0-store-n-go-v3-usb-drive-memory-capacity.html
OWC USB-A to USB-C Adapter Cable,OWC,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,,,USB 3.0,USB-C; USB-A,,,,,,False,,,,,1,,7.99,0.66,False,https://www.filmtools.com/owc-usb-a-to-usb-c-adapter-cable.html
Hosa USB 3.0 Type-A to Type-C Male Cable - 6',Hosa,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,,,USB 3.0,USB-C; USB-A,,,,,,False,,,,,,,12.38,0.66,False,https://www.filmtools.com/hosa-usb-306ca-superspeed-usb-3-0-cable-type-a-to-type-c-6-foot.html
Verbatim 64GB SuperSpeed USB 3.0 Store 'n' Go V3 USB Drive,Verbatim,Uncategorized,Needs Review,unknown,,64 GB,64,USB 3.0; USB 2.0,,175,,,,,False,,,,,,,18.29,0.44,True,https://www.filmtools.com/verbatim-store-n-go-usb3-drive-64gb.html
Verbatim 128GB SuperSpeed USB 3.0 Store 'n' Go V3 USB Drive,Verbatim,Uncategorized,Needs Review,unknown,,128 GB,128,USB 3.0; USB 2.0,,175,,,,,False,,,,,,,13.99,0.44,True,https://www.filmtools.com/verbatim-store-n-go-usb3-drive-128gb.html
